14,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),811,"1,534",4.2,https://www.amazon.in//Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1679402027&sprefix=ba%2Caps%2C283&sr=8-63
15,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,740,3.7,https://www.amazon.in//Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1679402027&sprefix=ba%2Caps%2C283&sr=8-64
16,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag",931,"1,256",4.3,https://www.amazon.in//F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY/ref=sr_1_177?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-177
17,"BESTAQUA Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider,Makeup Organizer Bags(Multi)",799,1,1.0,https://www.amazon.in//BESTAQUA-Capacity-Cosmetic-Cosmetics-Organizer/dp/B0BW62ZR8N/ref=sr_1_178?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-178
18,F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black),"1,168",216,4.4,https://www.amazon.in//F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5/ref=sr_1_179?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-179
19,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Red,Grey) Sch Bag","1,096",281,4.4,https://www.amazon.in//F-Gear-Blow-Laptop-Backpack-Red/dp/B0749MPCFT/ref=sr_1_180?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-180
20,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag,"1,181","1,364",4.2,https://www.amazon.in//Cosmus-Casual-Backpack-Charger-College/dp/B08D7D2ZFX/ref=sr_1_181?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-181
21,"WILDHORN 31L Laptop Backpack for Men / Women I Fits upto 15.6"" Laptop I Waterproof I Travel / Business / College Bookbags",599,953,4.1,https://www.amazon.in//WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_182?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-182
22,ZIPLOC Polyester 42 Liters Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack ( Black ),"1,599",10,3.6,https://www.amazon.in//ZIPLOC-Polyester-Waterproof-Backpack-Business/dp/B099FFLQ5Q/ref=sr_1_183?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-183
23,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,"1,030","3,134",4.4,https://www.amazon.in//Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_184?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-184
24,"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",989,107,4.1,https://www.amazon.in//Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGXXR5/ref=sr_1_185?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-185
25,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",19,4.7,https://www.amazon.in//uppercase-Professional-Backpack-resistant-sustainable/dp/B0BRMWDNZ7/ref=sr_1_186?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-186
26,ZOUK Black Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles - FloMotif,"1,699","1,845",4.4,https://www.amazon.in//FloMotif-Business-Shoulder-material-resistant/dp/B07NHYLTY7/ref=sr_1_187?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-187
27,"POLESTAR Leader 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",599,"3,430",4.1,https://www.amazon.in//POLESTAR-backpack-Backpack-College-Students/dp/B08X2JSJ6N/ref=sr_1_188?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-188
28,Wildcraft 35 Ltrs 18.5 cms Backpack (11911 Grey_Grey),"1,266",160,4.2,https://www.amazon.in//Wildcraft-Solid-Backpack-Grey-11911/dp/B07N1CM9QS/ref=sr_1_189_mod_primary_new?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-189
29,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black,296,"2,292",3.8,https://www.amazon.in//DZert-Polyester-Black-White-Backpack/dp/B07GXX2BP3/ref=sr_1_190?crid=2M096C61O4MLT&keywords=bags&qid=1679402062&sprefix=ba%2Caps%2C283&sr=8-190
